SICCode,SICDescription
22629903,Silk broadwoven fabric finishing
22690000,"Finishing plants, nec"
22690100,Printing of narrow fabrics
22690101,Flock printing of narrow fabrics
22690102,"Labels, cotton: printed"
22690200,Chemical coating or treating of narrow fabrics
22690201,"Bleaching: raw stock, yarn, and narrow fabrics"
22690202,"Dyeing: raw stock, yarn, and narrow fabrics"
22690203,"Mercerizing: yarn, braided goods, and narrow fabrics"
22690300,Decorative finishing of narrow fabrics
22690301,"Braided goods: bleaching, dyeing, or other finishings"
22690302,Embossing: linen broadwoven fabrics
22699900,"Finishing plants, nec, nec"
22699901,"Cloth mending, for the trade"
22699902,"Finishing: raw stock, yarn, and narrow fabrics"
22699903,Gassing yarn
22699904,"Linen fabrics: dyeing, finishing, and printing"
22730000,Carpets and rugs
22730100,Aircraft and automobile floor coverings
22730101,"Aircraft floor coverings, except rubber or plastic"
22730102,"Automobile floor coverings, except rubber or plastic"
22730200,Mats and matting
22730201,"Bathmats and sets, textile"
22730202,"Door mats: paper, grass, reed, coir, sisal, jute, rags, etc."
22730300,Art squares
22730301,"Art squares, textile fiber"
22730302,"Art squares: twisted paper, grass, reed, coir, sisal, etc."
22730400,"Carpets, hand and machine made"
22730401,Axminster carpets
22730402,"Carpets, textile fiber"
22730403,"Carpets: twisted paper, grass, reed, coir, sisal, jute, etc."
22730404,Wilton carpets
22730500,"Rugs, hand and machine made"
22730501,Chenille rugs
22730502,"Rugs, braided and hooked"
22730503,"Rugs, machine woven"
22730504,"Rugs, tufted"
22730505,"Rugs: twisted paper, grass, reed, coir, sisal, jute, etc."
22730506,"Scatter rugs, except rubber or plastic"
22739900,"Carpets and rugs, nec"
22739901,Dyeing and finishing of tufted rugs and carpets
22739902,Finishers of tufted carpets and rugs
22739903,"Floor coverings, textile fiber"
22739904,"Floor coverings: paper, grass, reed, coir, sisal, jute, etc."
22739905,"Smyrna carpets and rugs, machine woven"
22810000,Yarn spinning mills
22810100,"Needle and handicraft yarns, spun"
22810101,"Cordage yarn, spun"
22810102,"Crochet yarn, spun"
22810103,"Darning yarn, spun"
22810104,"Embroidery yarn, spun"
22810105,"Knitting yarn, spun"
22810106,Spinning yarn
22810107,"Weaving yarn, spun"
22810200,"Manmade and synthetic fiber yarns, spun"
22810201,"Acetate yarn, spun: made from purchased staple"
22810202,"Acrylic yarn, spun: made from purchased staple"
22810203,"Manmade staple fiber yarn, spun"
22810204,"Modacrylic yarn, spun: made from purchased staple"
22810205,"Nylon yarn, spinning of staple"
22810206,"Nytril yarn, spun: made from purchased staple"
22810207,"Polyester yarn, spun: made from purchased staple"
22810208,"Polypropylene yarn, spun: made from purchased staple"
22810209,"Rayon yarn, spun: made from purchased staple"
22810210,"Saran yarn, spun: made from purchased staple"
22810211,"Vinal yarn, spun: made from purchased staple"
22810212,"Vinyon yarn, spun: made from purchased staple"
22810300,"Natural and animal fiber yarns, spun"
22810301,"Animal fiber yarn, spun"
22810302,"Cotton yarn, spun"
22810303,"Mohair yarn, spun"
22810304,"Silk yarn, spun"
22810305,"Wool yarn, spun"
22810400,"Carpet and rug yarn, spun"
22810401,"Carpet yarn, spun"
22810402,"Rug yarn, spun"
22819900,"Yarn spinning mills, nec"
22819901,"Carded yarn, spun"
22819902,"Combed yarn, spun"
22820000,Throwing and winding mills
22820100,"Needle and handicraft yarns, twisting, winding, or spooling"
22820101,"Crochet yarn: twisting, winding, or spooling"
22820102,"Darning yarn: twisting, winding, or spooling"
22820103,"Embroidery yarn: twisting, winding, or spooling"
22820104,"Knitting yarn: twisting, winding, or spooling"
22820105,"Weaving yarn, throwing and twisting"
22820200,"Manmade and synthetic fiber yarns, twisting, winding, etc."
22820201,"Acetate filament yarn: throwing, twisting, winding, spooling"
22820202,"Acrylic and modacrylic filament yarn: throwing, winding, etc"
22820203,"Nylon yarn: throwing, twisting, winding or spooling"
22820204,"Polyester filament yarn: throwing, twisting, winding, etc."
22820205,"Polypropylene filament yarn: twisting, winding, etc."
22820206,"Rayon yarn, made from purchased filament: throwing, twisting"
22820207,"Saran filament yarn: throwing, twisting, winding, etc."
22820208,"Vinal filament yarn: throwing, twisting, winding, spooling"
22820209,"Vinyon filament yarn: throwing, twisting, winding, spooling"
22820300,"Natural and animal fiber yarns: twisting, winding, spooling"
22820301,"Animal fiber yarn: twisting, winding, or spooling"
22820302,"Mohair yarn: twisting, winding, or spooling"
22820303,"Wool yarn: twisting, winding, or spooling"
22820400,"Carpet and rug yarn: twisting, winding, or spooling"
22820401,"Carpet yarn: twisting, winding, or spooling"
22820402,"Rug yarn: twisting, winding, or spooling"
22829900,"Throwing and winding mills, nec"
22829901,"Beaming yarns, for the trade"
22829902,Rewinding of yarn
22829903,Spooling yarn
22829904,Textured yarn
22829905,Throwing yarn
22829906,Twisting yarn
22829907,Winding yarn
22840000,Thread mills
22840100,Thread from manmade fibers
22840101,Nylon thread
22840102,Polyester thread
22840103,Rayon thread
22840200,Thread from natural fibers
22840201,Cotton thread
22840202,Silk thread
22840300,Needle and handicraft thread
22840301,Crochet thread
22840302,Darning thread
22840303,Embroidery thread
22840304,Hand knitting thread
22840305,Sewing thread
22840306,Spinning thread
22840307,Tatting thread
22849900,"Thread mills, nec"
22849901,"Thread: bleaching, dyeing, and finishing"
22950000,"Coated fabrics, not rubberized"
22950100,Chemically coated and treated fabrics
22950101,"Buckram: varnished, waxed, and impregnated"
22950102,"Leather, artificial or imitation"
22950103,Metallizing of fabrics
22950104,Oilcloth
22950105,Pyroxylin coated fabrics
22950106,"Waterproofing fabrics, except rubberizing"
22950200,Plastic coated yarns or fabrics
22950201,Resin or plastic coated fabrics
22950202,"Tape, varnished: plastic, and other coated (except magnetic)"
22950203,"Yarns, plastic coated: made from purchased yarns"
22950300,Varnished glass and coated fiberglass fabrics
22950301,"Cloth, varnished glass"
22950302,"Mats, varnished glass"
22950303,Sealing or insulating tape for pipe: coated fiberglass
22959900,"Coated fabrics, not rubberized, nec"
22959901,"Cambric: varnished, waxed, and impregnated"
22959902,Laminating of fabrics
22959903,"Shade cloth, coated or impregnated"
22959904,"Sleeving, textile: saturated"
22959905,"Tubing, textile: varnished"
22959906,Varnishing of textiles
22959907,Waxing of cloth
22960000,Tire cord and fabrics
22960100,Cord and fabric for reinforcing rubber tires
22960101,Cord for reinforcing rubber tires
22960102,Fabric for reinforcing rubber tires
22960103,Glass tire cords and tire cord fabrics
22960104,Steel tire cords and tire cord fabrics
22960200,Cord and fabric for reinforcing industrial belting
22960201,Cord for reinforcing industrial belting
22960202,Fabric for reinforcing industrial belting
22960300,Cord and fabric for reinforcing fuel cells
22960301,Cord for reinforcing fuel cells
22960302,Fabric for reinforcing fuel cells
22970000,Nonwoven fabrics
22979900,"Nonwoven fabrics, nec"
22979901,"Bonded-fiber fabrics, except felt"
22979902,"Ribbon, nonwoven (yarn bonded by plastic)"
22979903,Spunbonded fabrics
22980000,Cordage and twine
22980100,Ropes and fiber cables
22980101,"Blasting mats, rope"
22980102,"Cable, fiber"
22980103,"Rope, except asbestos and wire"
22980200,"Twine, cord and cordage"
22980201,Binder and baler twine
22980202,"Cord, braided"
22980203,"Cordage: abaca, sisal, henequen, hemp, jute, or other fiber"
22980204,Hard fiber cordage and twine
22980205,Soft fiber cordage and twine
22980206,Trawl twine
22980207,"Twine, nec"
22980300,"Nets, seines, slings and insulator pads"
22980301,"Camouflage nets, not made in weaving mills"
22980302,Cargo nets
22980303,"Fishing lines, nets, seines: made in cordage or twine mills"
22980304,"Insulator pads, cordage"
22980305,"Nets, rope"
22980306,"Slings, rope"
22989900,"Cordage and twine, nec"
22989901,Wire rope centers
22990000,"Textile goods, nec"
22990100,"Batting, wadding, padding and fillings"
22990101,"Apparel filling: cotton waste, kapok, and related material"
22990102,Batts and batting: cotton mill waste and related material
22990103,"Hair, curled: for upholstery, pillow, and quilt filling"
22990104,"Padding and wadding, textile"
22990105,"Pads, fiber: henequen, sisal, istle"
22990106,"Pillow fillings: curled hair, cotton waste, moss, hemp tow"
22990107,"Quilt fillings: curled hair, cotton waste, moss, hemp tow"
22990108,"Upholstery filling, textile"
22990109,Wads and wadding
22990200,Felts and felt products
22990201,Acoustic felts
22990202,Automotive felts
22990203,"Boiler covering, felt"
22990204,"Carpet cushions, felt"
22990205,Insulating felts
22990206,"Ironing board felts, except woven"
22990207,"Lining, carpet: felt, except woven"
22990208,"Mats, felt: except woven"
22990209,"Pipe and boiler covering, felt"
22990210,Polishing felts
22990211,Pressed wool felts
22990212,Punched felts
22990213,"Trimming felts, except woven"
22990214,"Wool felts, pressed or needle loom"
22990300,"Yarns and thread, made from non-fabric materials"
22990301,Flax yarns and roving
22990302,"Ramie yarn, thread, roving, and textiles"
22990303,"Thread: linen, hemp or ramie"
22990304,"Yarn, metallic, ceramic, or paper fibers"
22990305,"Yarn: flax, jute, hemp, and ramie"
22990306,"Yarns, specialty and novelty"
22990400,Textile mill waste and remnant processing
22990401,"Fibers, textile: recovery from textile mill waste and rags"
22990402,Flock (recovered textile fibers)
22990403,Garnetting of textile waste and rags
22990404,Recovering textile fibers from clippings and rags
22990405,Slubs and nubs
22990406,Wool shoddy
22990407,Wool waste processing
22990500,Jute and flax textile products
22990501,"Bagging, jute"
22990502,"Burlap, jute"
22990503,"Crash, linen"
22990504,Linen fabrics
22990505,"Packing, twisted jute"
22990506,"Roves, flax and jute"
22990507,"Towels and towelings, linen and linen-and-cotton mixtures"
22990508,"Webbing, jute"
22990600,Scouring and carbonizing of textile fibers
22990601,Carbonized rags
22990602,"Carbonizing of wool, mohair, and similar fibers"
22990603,Preparing textile fibers for spinning (scouring and combing)
22990604,"Scouring: wool, mohair, and similar fibers"
22990700,"Tops and top processing, manmade or other fiber"
22990701,"Rayon tops, combing and converting"
22990702,"Tops, combing and converting"
22990703,"Tops, manmade fiber"
22990704,Tow to top mills
22990705,"Wool tops, combing and converting"
22999900,"Textile goods, nec, nec"
22999901,"Broadwoven fabrics: linen, jute, hemp, and ramie"
22999902,Coir yarns and roving
22999903,"Fabrics: linen, jute, hemp, ramie"
22999904,"Grease, wool"
22999905,Hand woven fabrics
22999906,"Hemp yarn, thread, roving, and textiles"
22999907,"Narrow woven fabrics: linen, jute, hemp, and ramie"
22999908,"Noils, wool and mohair"
22999909,Oakum
22999910,"Rugbacking, jute or other fiber"
22999911,Worsted combing
23110000,Men's and boy's suits and coats
23110100,Tailored suits and formal jackets
23110101,"Formal jackets, men's and youths': from purchased materials"
23110102,"Jackets, tailored suit-type: men's and boys'"
23110103,"Suits, men's and boys': made from purchased materials"
23110104,Tailored dress and sport coats: men's and boys'
23110105,Tuxedos: made from purchased materials
23110200,"Coats, overcoats and vests"
23110201,"Coats, tailored: men's and boys': from purchased materials"
23110202,"Overcoats and topcoats: men's, youths' and boys'"
23110203,Vests: made from purchased materials
23110300,Men's and boys' uniforms
23110301,Firemen's uniforms: made from purchased materials
23110302,"Military uniforms, men's and youths': purchased materials"
23110303,Policemen's uniforms: made from purchased materials
23210000,Men's and boy's furnishings
23210100,Men's and boys' dress shirts
23210101,"Blouses, boys': made from purchased materials"
23210102,"Collars, men's and boys': made from purchased materials"
23210200,Men's and boys' sports and polo shirts
23210201,"Polo shirts, men's and boys': made from purchased materials"
23210202,"Sport shirts, men's and boys': from purchased materials"
23219900,"Men's and boy's furnishings, nec"
23219901,"Flannel shirts, except work: men's, youths', and boys'"
23219902,Uniform shirts: made from purchased materials
23220000,Men's and boy's underwear and nightwear
23229900,"Men's and boy's underwear and nightwear, nec"
23229901,"Nightwear, men's and boys': from purchased materials"
23229902,"Underwear, men's and boys': made from purchased materials"
23230000,Men's and boy's neckwear
23230100,Men's and boys' neckties and bow ties
23230101,"Bow ties, men's and boys': made from purchased materials"
23230102,"Neckties, men's and boys': made from purchased materials"
23230103,"Ties, handsewn: made from purchased materials"
23230200,Men's and boys' scarves
23230201,"Ascots, men's and boys': made from purchased materials"
23250000,Men's and boy's trousers and slacks
23250100,Men's and boys' jeans and dungarees
23250101,"Dungarees: men's, youths', and boys'"
23250102,"Jeans: men's, youths', and boys'"
23250200,Men's and boys' dress slacks and shorts
23250201,"Shorts (outerwear): men's, youths', and boys'"
23250202,"Slacks, dress: men's, youths', and boys'"
23250203,"Trousers, dress (separate): men's, youths', and boys'"
23260000,Men's and boy's work clothing
23260100,Work uniforms
23260101,"Medical and hospital uniforms, men's"
23260102,Overalls and coveralls
23260200,"Work apparel, except uniforms"
23260201,"Aprons, work, except rubberized and plastic: men's"
23260202,"Industrial garments, men's and boys'"
23260203,"Jackets, overall and work"
23260204,"Service apparel (baker, barber, lab, etc.), washable: men's"
23260205,"Work garments, except raincoats: waterproof"
23260206,Work pants
23260207,"Work shirts: men's, youths', and boys'"
23290000,"Men's and boy's clothing, nec"
23290100,Men's and boys' sportswear and athletic clothing
23290101,"Athletic clothing, except uniforms: men's, youths' and boys'"
23290102,Bathing suits and swimwear: men's and boys'
23290103,"Riding clothes: men's, youths', and boys'"
23290104,Ski and snow clothing: men's and boys'
23290200,"Men's and boys' leather, wool and down-filled outerwear"
23290201,"Coats (oiled fabric, leatherette, etc.): men's and boys'"
23290202,Down-filled clothing: men's and boys'
23290203,"Field jackets, military"
23290204,"Hunting coats and vests, men's"
23290205,"Jackets (suede, leatherette, etc.), sport: men's and boys'"
23290206,"Lumber jackets: men's, youths', and boys'"
23290207,"Mackinaws: men's, youths', and boys'"
23290208,"Melton jackets: men's, youths', and boys'"
23290209,"Sweaters and sweater jackets, men's and boys'"
23290210,"Vests (suede, leatherette, etc.), sport: men's and boys'"
23290300,Men's and boys' athletic uniforms
23290301,"Baseball uniforms: men's, youths', and boys'"
23290302,"Basketball uniforms: men's, youths', and boys'"
23290303,"Football uniforms: men's, youths', and boys'"
23290304,"Hockey uniforms: men's, youths', and boys'"
23299900,"Men's and boy's clothing, nec, nec"
23299901,"Knickers, dress (separate): men's and boys'"
23299902,"Shirt and slack suits: men's, youths', and boys'"
23299903,"Windbreakers: men's, youths', and boys'"
23310000,Women's and misses' blouses and shirts
23319900,"Women's and misses' blouses and shirts, nec"
23319901,"Blouses, women's and juniors': made from purchased material"
23319902,"Shirts, women's and juniors': made from purchased materials"
23319903,"T-shirts and tops, women's: made from purchased materials"
23350000,"Women's, junior's, and misses' dresses"
23350100,Bridal and formal gowns
23350101,"Gowns, formal"
23350102,Wedding gowns and dresses
23359900,"Women's, junior's, and misses' dresses, nec"
23359901,"Dresses,paper, cut and sewn"
23359902,"Ensemble dresses: women's, misses', and juniors'"
23359903,Housedresses
23370000,Women's and misses' suits and coats
23370100,Women's and misses' suits and skirts
23370101,"Pantsuits: women's, misses' and juniors'"
23370102,"Skirts, separate: women's, misses', and juniors'"
23370103,"Suits: women's, misses', and juniors'"
23370200,Women's and misses' capes and jackets
23370201,"Capes, except fur or rubber: women's, misses', and juniors'"
23370202,"Jackets and vests, except fur and leather: women's"
23379900,"Women's and misses' suits and coats, nec"
23379901,"Uniforms, except athletic: women's, misses', and juniors'"
23390000,"Women's and misses' outerwear, nec"
23390100,Women's and misses' accessories
23390101,"Collar and cuff sets: women's, misses' and juniors'"
23390102,"Dickeys: women's, misses' and juniors'"
23390103,"Neckwear and ties: women's, misses', and juniors'"
23390104,"Scarves, hoods, headbands, etc.: women's"
23390200,"Women's and misses' culottes, knickers and shorts"
23390201,"Culottes: women's, misses', and juniors'"
23390202,"Knickers: women's, misses', and juniors'"
23390203,"Shorts (outerwear): women's, misses', and juniors'"
23390300,Women's and misses' athletic clothing and sportswear
23390301,"Athletic clothing: women's, misses', and juniors'"
23390302,"Bathing suits: women's, misses', and juniors'"
23390303,"Beachwear: women's, misses', and juniors'"
23390304,"Jogging and warmup suits; women's, misses', and juniors'"
23390305,"Play suits: women's, misses', and juniors'"
23390306,"Riding habits: women's, misses', and juniors'"
23390307,"Ski jackets and pants: women's, misses', and juniors'"
23390308,"Skirts, tennis"
23390309,"Snow suits: women's, misses', and juniors'"
23390310,"Sportswear, women's"
23390311,"Uniforms, athletic: women's, misses', and juniors'"
23390400,"Women's and misses' jackets and coats, except sportswear"
23390401,"Down-filled coats, jackets, and vests: women's and misses'"
23390402,"Jackets, untailored: women's, misses', and juniors'"
23399900,"Women's and misses' outerwear, nec, nec"
23399901,"Aprons, except rubber or plastic: women's, misses', juniors'"
23399902,Hoovers (apron): women's and misses'
23399903,"Jeans: women's, misses', and juniors'"
23399904,"Leotards: women's, misses', and juniors'"
23399905,Maternity clothing
23399906,"Service apparel, washable: women's"
23399907,"Slacks: women's, misses', and juniors'"
23399908,"Smocks: women's, misses', and juniors'"
23410000,Women's and children's underwear
23410100,Women's and children's nightwear
23410101,Nightgowns and negligees: women's and children's
23410102,Pajamas and bedjackets: women's and children's
23410200,Women's and children's undergarments
23410201,"Chemises, camisoles, and teddies: women's and children's"
23410202,"Panties: women's, misses', children's, and infants'"
23410203,"Slips: women's, misses', children's, and infants'"
23420000,"Bras, girdles, and allied garments"
23429900,"Bras, girdles, and allied garments, nec"
23429901,Brassieres
23429902,"Corset accessories: clasps, stays, etc."
23429903,Corsets and allied garments
23429904,"Foundation garments, women's"
23429905,Girdles and panty girdles
23429906,Maternity bras and corsets
23530000,"Hats, caps, and millinery"
23530100,Uniform hats and caps
23530101,Baseball caps
23530102,"Chauffeurs' hats and caps, cloth"
23530103,Police hats and caps
23539900,"Hats, caps, and millinery, nec"
23539901,"Caps: cloth, straw, and felt"
23539902,"Harvest hats, straw"
23539903,"Hat bodies: fur felt, straw, and wool felt"
23539904,"Hats and caps, nec"
23539905,"Hats, trimmed: women's, misses', and children's"
23539906,"Hats: cloth, straw, and felt"
23539907,"Helmets, jungle cloth: wool lined"
23539908,Millinery
23539909,Opera hats
23539910,Panama hats
23539911,Silk hats
23610000,"Girl's and children's dresses, blouses"
23610100,Girls' and children's blouses and shirts
23610101,"Blouses: girls', children's, and infants'"
23610102,"Shirts: girls', children's, and infants'"
23610103,"T-shirts and tops: girls', children's, and infants'"
23619900,"Girl's and children's dresses, blouses, nec"
23619901,"Dresses: girls', children's, and infants'"
23690000,"Girl's and children's outerwear, nec"
23690100,Children's culottes and shorts
23690101,Culottes: girls' and children's
23690102,Shorts (outerwear): girls' and children's
23690200,Children's bathing suits and beachwear
23690201,"Bathing suits and swimwear: girls', children's, and infants'"
23690202,"Beachwear: girls', children's, and infants'"
23690300,Children's robes and housecoats
23690301,"Bathrobes: girls', children's, and infants'"
23690302,"Housecoats: girls', children's, and infants'"
23690303,Lounging robes: children's
23690400,"Children's snowsuits, coats, and jackets"
23690401,"Buntings, infants'"
23690402,Coat and legging sets: girls' and children's
23690403,"Coats: girls', children's, and infants'"
23690404,"Jackets: girls', children's, and infants'"
23690405,Ski and snow suits: girls' and children's
23699900,"Girl's and children's outerwear, nec, nec"
23699901,"Headwear: girls', children's, and infants'"
23699902,"Jeans: girls', children's, and infants'"
23699903,"Leggings: girls', children's, and infants'"
23699904,"Pantsuits: girls', children's, and infants'"
23699905,"Play suits: girls', children's, and infants'"
23699906,Rompers: infants'
23699907,"Skirts: girls', children's, and infants'"
23699908,Slacks: girls' and children's
23699909,Suits: girls' and children's
23699910,"Sun suits: girls', children's, and infants'"
23699911,"Warm-up, jogging, and sweat suits: girls' and children's"
23710000,Fur goods
23710100,Fur coats and other fur apparel
23710101,"Apparel, fur"
23710102,"Capes, fur"
23710103,"Caps, fur"
23710104,"Coats, fur"
23710105,"Hats, fur"
23710106,"Jackets, fur"
23710200,"Fur linings, trimmings, and neckpieces"
23710201,"Coat linings, fur"
23710202,Fur plates and trimmings
23710203,"Glove linings, fur"
23710204,"Neckpieces, fur"
23719900,"Fur goods, nec"
23719901,Fur finishers and liners for the fur goods trade
23719902,Glazing furs
23719903,Mounting heads on fur neckpieces
23719904,Pointing furs
23810000,Fabric dress and work gloves
23819900,"Fabric dress and work gloves, nec"
23819901,"Dyeing gloves, woven or knit: for the trade"
23819902,"Glove linings, except fur"
23819903,"Gloves, work: woven or knit, made from purchased materials"
23819904,"Gloves, woven or knit: made from purchased materials"
23819905,"Mittens, woven or knit: made from purchased materials"
23840000,Robes and dressing gowns
23849900,"Robes and dressing gowns, nec"
23849901,"Bathrobes, men's and women's: made from purchased materials"
23849902,"Dressing gowns, men's and women's: from purchased materials"
23849903,"Housecoats, except children's: from purchased materials"
23850000,Waterproof outerwear
23859900,"Waterproof outerwear, nec"
23859901,"Aprons, waterproof: made from purchased materials"
23859902,"Bibs, waterproof: made from purchased materials"
23859903,"Diaper covers, waterproof: made from purchased materials"
23859904,"Gowns, plastic: made from purchased materials"
23859905,"Raincoats, except vulcanized rubber: purchased materials"
23860000,Leather and sheep-lined clothing
23860100,Leather and sheep-lined coats and hats
23860101,"Coats and jackets, leather and sheep-lined"
23860102,"Hats and caps, leather"
23860200,Leather and sheep-lined garments
23860201,"Garments, leather"
23860202,"Garments, sheep-lined"
23860203,"Pants, leather"
23870000,Apparel belts
23890000,"Apparel and accessories, nec"
23890100,Men's miscellaneous accessories
23890101,Cummerbunds
23890102,Footlets
23890103,"Handkerchiefs, except paper"
23890104,Regalia
23890105,Suspenders
23890200,Uniforms and vestments
23890201,Academic vestments (caps and gowns)
23890202,Band uniforms
23890203,Clergymen's vestments
23890300,Costumes
23890301,Lodge costumes
23890302,Masquerade costumes
23890303,Theatrical costumes
23899900,"Apparel and accessories, nec, nec"
23899901,Apparel for handicapped
23899902,"Arm bands, elastic"
23899903,Disposable garments and accessories
23899904,Garter belts
23899905,Garters
23899906,Hospital gowns
23899907,Burial garments
23910000,Curtains and draperies
23919900,"Curtains and draperies, nec"
23919901,"Cottage sets (curtains), made from purchased materials"
23919902,"Curtains, window: made from purchased materials"
23919903,"Draperies, plastic and textile: from purchased materials"
23920000,"Household furnishings, nec"
23920100,Cushions and pillows
23920101,Boat cushions
23920102,"Hassocks, textile: made from purchased materials"
23920103,"Pillows, bed: made from purchased materials"
23920200,"Laundry, garment and storage bags"
23920201,"Bags, garment storage: except paper or plastic film"
23920202,"Bags, laundry: made from purchased materials"
23920203,"Blanket bags, plastic: made from purchased materials"
23920204,Shoe bags: made from purchased materials
23920300,"Blankets, comforters and beddings"
23920301,Bedspreads and bed sets: made from purchased materials
23920302,Blankets: made from purchased materials
23920303,Comforters and quilts: made from purchased materials
23920304,Pillowcases: made from purchased materials
23920400,Tablecloths and table settings
23920401,"Napkins, fabric and nonwoven: made from purchased materials"
23920402,"Pads and padding, table: except asbestos, felt, or rattan"
23920403,"Placemats, plastic or textile"
23920404,"Scarves: table, dresser, etc.: from purchased materials"
23920405,"Table mats, plastic and textile"
23920406,Tablecloths: made from purchased materials
23920500,"Towels, dishcloths and dust cloths"
23920501,"Dishcloths, nonwoven textile: made from purchased materials"
23920502,Dust cloths: made from purchased materials
23920503,"Polishing cloths, plain"
23920504,"Towels, fabric and nonwoven: made from purchased materials"
23920505,Washcloths and bath mitts: made from purchased materials
23920600,Slip covers and pads
23920601,Chair covers and pads: made from purchased materials
23920602,Ironing board pads: made from purchased materials
23920603,"Linings, carpet: textile, except felt"
23920604,Mattress pads
23920605,"Mattress protectors, except rubber"
23920606,"Slip covers: made of fabric, plastic, etc."
23929900,"Household furnishings, nec, nec"
23929901,"Bridge sets, cloth and napkin: from purchased materials"
23929902,"Mops, floor and dust"
23929903,"Sheets, fabric: made from purchased materials"
23929904,Shower curtains: made from purchased materials
23930000,Textile bags
23930100,Canvas bags
23930101,"Duffle bags, canvas: made from purchased materials"
23930102,"Knapsacks, canvas: made from purchased materials"
23939900,"Textile bags, nec"
23939901,"Bags and containers, except sleeping bags: textile"
23939902,"Cushions, except spring and carpet: purchased materials"
23939903,"Flour bags, fabric: made from purchased materials"
23939904,"Tea bags, fabric: made from purchased materials"
23940000,Canvas and related products
23940100,Canvas awnings and canopies
23940101,"Awnings, fabric: made from purchased materials"
23940102,"Canopies, fabric: made from purchased materials"
23940200,Canvas covers and drop cloths
23940201,"Cloth, drop (fabric): made from purchased materials"
23940202,"Liners and covers, fabric: made from purchased materials"
23940203,"Tarpaulins, fabric: made from purchased materials"
23949900,"Canvas and related products, nec"
23949901,"Air cushions and mattresses, canvas"
23949902,Canvas boat seats
23949903,"Convertible tops, canvas or boat: from purchased materials"
23949904,Sails: made from purchased materials
23949905,"Shades, canvas: made from purchased materials"
23949906,Tents: made from purchased materials
23950000,Pleating and stitching
23950100,Quilting and quilting supplies
23950101,Quilted fabrics or cloth
23950102,Quilting: for the trade
23950200,Embroidery and art needlework
23950201,"Art goods for embroidering, stamped: purchased materials"
23950202,Art needlework: made from purchased materials
23950203,"Emblems, embroidered"
23950204,"Embroidery products, except Schiffli machine"
23950205,Swiss loom embroideries
23950300,Decorative and novelty stitching: for the trade
23950301,Appliqueing: for the trade
23950302,Eyelet making: for the trade
23950303,Hemstitching: for the trade
23950304,"Lace, burnt-out: for the trade"
23950305,Looping: for the trade
23950306,Ruffling: for the trade
23950307,Scalloping: for the trade
23950400,Pleating and tucking: for the trade
23950401,Permanent pleating and pressing: for the trade
23950402,Tucking: for the trade
23959900,"Pleating and stitching, nec"
23959901,"Buttonhole making, except fur: for the trade"
23959902,"Crochet ware, machine-made"
23960000,Automotive and apparel trimmings
23960100,"Apparel and other linings, except millinery"
23960101,"Collar linings, men's coats"
23960102,"Linings, apparel: made from purchased materials"
23960103,"Linings, handbag or pocketbook"
23960104,Luggage linings
23960200,Apparel findings and trimmings
23960201,"Bindings, bias: made from purchased materials"
23960202,"Pads, shoulder: for coats, suits, etc."
23960203,Passementeries
23960204,"Ribbons and bows, cut and sewed"
23960205,"Shoulder straps, for women's underwear"
23960206,"Trimming, fabric, nsk"
23960207,"Waistbands, trouser"
23960300,Millinery materials and supplies
23960301,"Bindings, cap and hat: made from purchased materials"
23960302,Cap fronts and visors
23960303,"Hat findings, men's"
23960304,"Hat linings and trimmings, men's"
23960305,Hatters' fur
23960306,"Sweat bands, hat and cap: made from purchased materials"
23960400,Fabric printing and stamping
23960401,Printing and embossing on plastics fabric articles
23960402,Screen printing on fabric articles
23960403,Stamping fabric articles
23960404,Tip printing and stamping on fabric
23960405,"Veils and veiling: bridal, funeral, etc."
23969900,"Automotive and apparel trimmings, nec"
23969901,"Automotive trimmings, fabric"
23969902,"Furniture trimmings, fabric"
23970000,Schiffli machine embroideries
23990000,"Fabricated textile products, nec"
23990100,"Emblems, badges, and insignia"
23990101,"Emblems, badges, and insignia: from purchased materials"
23990102,"Military insignia, textile"
23990200,"Horse and pet accessories, textile"
23990201,Horse blankets
23990202,"Horse harnesses and riding crops, etc.: non-leather"
23990203,"Pet collars, leashes, etc.: non-leather"
23990204,Saddle cloth
23990300,"Banners, pennants, and flags"
23990301,"Banners, made from fabric"
23990302,"Flags, fabric"
23990303,Pennants
23990400,Belting and belt products
23990401,Bandoleers
23990402,"Belting, fabric: made from purchased materials"
23990403,Money belts
23990404,"Seat belts, automobile and aircraft"
23990500,Hand woven and crocheted products
23990501,"Hand crocheted ware, except hats"
23990502,Hand woven apparel
23990503,"Hats, hand crocheted"
23990600,Hammocks and other net products
23990601,Fishing nets
23990602,"Hammocks, fabric: made from purchased materials"
23990603,"Nets, launderers and dyers"
23999900,"Fabricated textile products, nec, nec"
23999901,"Aprons, breast (harness)"
23999902,"Automotive covers, except seat and tire covers"
23999903,"Book covers, fabric"
23999904,"Cheese bandages, made from purchased materials"
23999905,"Diapers, except disposable: made from purchased materials"
23999906,Glove mending on factory basis
23999907,Infant carriers
23999908,Parachutes
23999909,Powder puffs and mitts
23999910,"Seat covers, automobile"
23999911,Sleeping bags
23999912,Tire covers
23999913,Welts: made from purchased materials
24110000,Logging
24110100,"Wooden bolts, hewn"
24110101,"Handle bolts, wood: hewn"
24110102,"Heading bolts, wood: hewn"
24110103,"Shingle bolts, wood: hewn"
