SICCode,SICDescription,SIC Only Auxilary Code 1,SIC Only Auxilary Code 2,SIC Only Auxilary Code 3
28160300,Black pigments,X,,
28160301,Animal black,X,,
28160302,Bone black,X,,
28160303,Lamp black,X,,
28169900,"Inorganic pigments, nec",X,,
28169901,"Metallic and mineral pigments, nec",X,,
28190000,"Industrial inorganic chemicals, nec",X,,
28190100,Elements,X,,
28190101,"Alkali metals: lithium, cesium, francium, rubidium",X,,
28190102,"Alkali metals: sodium, potassium",X,,
28190103,"Bromine, elemental",X,,
28190104,Calcium metal,X,,
28190105,"Fluorine, elemental",X,,
28190106,"Iodine, elemental",X,,
28190107,"Phosphorus, elemental",X,,
28190108,Scandium,X,,
28190200,Inorganic acids except nitric and phosphoric,X,,
28190201,Boric acid,X,,
28190202,Chlorosulfonic acid,X,,
28190203,Chromic acid,X,,
28190204,Hydrochloric acid,X,,
28190205,Hydrocyanic acid,X,,
28190206,Hydrofluoric acid,X,,
28190207,"Sulfuric acid, oleum",X,,
28190300,Aluminum compounds,X,,
28190301,Aluminum chloride,X,,
28190302,Aluminum oxide,X,,
28190303,Aluminum sulfate,X,,
28190304,"Bauxite, refined",X,,
28190400,"Sodium & potassium compounds, exc. bleaches, alkalies, alum.",X,,
28190401,Brine,X,,
28190402,"Muriate of potash, not from mines",X,,
28190403,"Potassium compounds or salts, except hydroxide or carbonate",X,,
28190404,Potasssium chloride and cyanide,X,,
28190405,Potasssium nitrate and sulfate,X,,
28190406,"Sodium compounds or salts, inorg., ex. refined sod. chloride",X,,
28190407,"Sodium hyposulfite, sodium hydrosulfite",X,,
28190408,"Sodium silicate, water glass",X,,
28190409,"Sodium sulfate, glauber's salt, salt cake",X,,
28190410,Sodium sulfides,X,,
28190411,Sodium thiosulfate,X,,
28190500,Alums,X,,
28190501,Potash alum,X,,
28190600,Fuels and radioactive compounds,X,,
28190601,Cobalt 60 (radioactive),X,,
28190602,"Fuel propellants, solid: inorganic",X,,
28190603,Hydrazine,X,,
28190604,"Isotopes, radioactive",X,,
28190605,"Nuclear fuel and cores, inorganic",X,,
28190606,"Nuclear fuel scrap, reprocessing",X,,
28190607,"Nuclear fuels, uranium slug (radioactive)",X,,
28190608,"Radium, luminous compounds",X,,
28190700,Carbides,X,,
28190701,Calcium carbide,X,,
28190702,"Tungsten carbide powder, except abrasive or metallurgical",X,,
28190800,Silica compounds,X,,
28190801,Silica gel,X,,
28190802,"Silica, amorphous",X,,
28190803,Silicofluorides,X,,
28190900,"Metal salts and compounds except sodium, potassium, aluminum",X,,
28190901,Barium compounds,X,,
28190902,Calcium chloride and hypochlorite,X,,
28190903,"Calcium compounds and salts, inorganic, nec",X,,
28190904,Chromates and bichromates,X,,
28190905,"Chromium compounds or salts, inorganic",X,,
28190906,"Cobalt compounds and salts, inorganic",X,,
28190907,"Copper compounds or salts, inorganic",X,,
28190908,"Inorganic metal compounds or salts, nec",X,,
28190909,Iron (ferric/ferrous) compounds or salts,X,,
28190910,"Lead compounds or salts, inorganic, not used in pigments",X,,
28190911,"Lithium compounds, inorganic",X,,
28190912,"Magnesium compounds or salts, inorganic",X,,
28190913,"Manganese dioxide powder, synthetic",X,,
28190914,Mercury chlorides,X,,
28190915,"Mercury compounds or salts, inorganic",X,,
28190916,Mercury oxides,X,,
28190917,"Mercury, redistilled",X,,
28190918,"Nickel compounds or salts, inorganic",X,,
28190919,"Silver compounds or salts, inorganic",X,,
28190920,"Strontium compounds or salts, inorganic",X,,
28190921,"Tin (stannic/stannous) compounds or salts, inorganic",X,,
28190922,Zinc chloride,X,,
28191000,Nonmetallic compounds,X,,
28191001,"Bleaching powder, lime bleaching compounds",X,,
28191002,"Boron compounds, nec, not from mines",X,,
28191003,"Charcoal (carbon), activated",X,,
28191004,Cyanides,X,,
28191005,Heavy water,X,,
28191006,Hydrogen sulfide,X,,
28191007,Hydrosulfites,X,,
28191008,Hypophosphites,X,,
28191009,"Iodides, nec",X,,
28191010,"Peroxides, hydrogen peroxide",X,,
28191011,"Phosphates, except fertilizers: defluorinated and ammoniated",X,,
28191012,Sulfur chloride,X,,
28191013,Sulfur dioxide,X,,
28191014,Sulfur hexafluoride gas,X,,
28191015,"Sulfur, recovered or refined, incl. from sour natural gas",X,,
28191016,"Thiocyanates, inorganic",X,,
28191100,Ammonium salts and compounds,X,,
28191101,"Ammonium chloride, hydroxide, and molybdate",X,,
28191102,"Ammonium compounds, except fertilizers, nec",X,,
28199900,"Industrial inorganic chemicals, nec, nec",X,,
28199901,"Catalysts, chemical",X,,
28199902,"Chemicals, high purity: refined from technical grade",X,,
28199903,"Chemicals, reagent grade: refined from technical grade",X,,
28199904,"Tanning agents, synthetic inorganic",X,,
28210000,Plastics materials and resins,X,,
28210100,Thermosetting materials,X,,
28210101,Epoxy resins,X,,
28210102,Ester gum,X,,
28210103,"Melamine resins, melamine-formaldehyde",X,,
28210104,Polyesters,X,,
28210105,"Polyimides (skybond, kaplon)",X,,
28210106,Polyurethane resins,X,,
28210107,Silicone resins,X,,
28210108,Urea resins,X,,
28210200,Thermoplastic materials,X,,
28210201,Acrylic resins,X,,
28210202,"Acrylonitrile-butadiene-styrene resins, ABS resins",X,,
28210203,"Elastomers, nonvulcanizable (plastics)",X,,
28210204,"Ethylene glycol terephthalic acid, mylar",X,,
28210205,Nylon resins,X,,
28210206,Polycarbonate resins,X,,
28210207,Polyethylene resins,X,,
28210208,"Polymethyl methacrylate resins, plexiglass",X,,
28210209,Polyoxymethylene resins,X,,
28210210,Polypropylene resins,X,,
28210211,Polystyrene resins,X,,
28210212,Polysulfones,X,,
28210213,"Polytetrafluoroethylene resins, teflon",X,,
28210214,Polyvinyl butyral resins,X,,
28210215,"Polyvinyl chloride resins, PVC",X,,
28210216,Polyvinylidene chloride resins,X,,
28210217,"Styrene resins, nec",X,,
28210218,Styrene-acrylonitile resins,X,,
28210219,"Vinyl resins, nec",X,,
28210300,Cellulose derivative materials,X,,
28210301,Cellulose acetate (plastics),X,,
28210302,Cellulose nitrate,X,,
28210303,"Nitrocellulose plastics, pyroxylin",X,,
28210400,Plasticizer/additive based plastic materials,X,,
28210401,Carbohydrate plastics,X,,
28210402,Casein plastics,X,,
28210403,Coal tar resins,X,,
28210404,Cresol resins,X,,
28210405,Phthalic anhydride resins,X,,
28210406,Protein plastics,X,,
28210407,Soybean plastics,X,,
28219900,"Plastics materials and resins, nec",X,,
28219901,"Molding compounds, plastics",X,,
28220000,Synthetic rubber,X,,
28220100,Butadiene rubbers,X,,
28220101,"Butadiene rubbers, polybutadiene",X,,
28220102,"Butadiene-acrylonitrile, nitrile rubbers, NBR",X,,
28220103,"Styrene-butadiene rubbers, (over 50% butadiene), SBR, GRS",X,,
28229900,"Synthetic rubber, nec",X,,
28229901,"Acrylic rubbers, polyacrylate",X,,
28229902,"Butyl rubber, isobutylene-isoprene rubbers",X,,
28229903,"Chlorinated rubbers, synthetic",X,,
28229904,"Cyclo rubbers, synthetic",X,,
28229905,"Ethylene-propylene rubbers, EPDM polymers",X,,
28229906,Fluoro rubbers,X,,
28229907,"Isoprene rubber, synthetic",X,,
28229908,"Neoprene, chloroprene",X,,
28229909,"Polyethylene, chlorosulfonated, hypalon",X,,
28229910,"Polysulfides, thiokol",X,,
28229911,Silicone rubbers,X,,
28229912,Vulcanized oils,X,,
28230000,Cellulosic manmade fibers,X,,
28239900,"Cellulosic manmade fibers, nec",X,,
28239901,"Acetate fibers, triacetate fibers",X,,
28239902,"Cigarette tow, cellulosic fiber",X,,
28239903,Cuprammonium fibers,X,,
28239904,"Horsehair, artificial: rayon",X,,
28239905,"Rayon fibers, straw, strips and yarn",X,,
28239906,"Viscose fibers, bands, strips, and yarn",X,,
28240000,"Organic fibers, noncellulosic",X,,
28249900,"Organic fibers, noncellulosic, nec",X,,
28249901,Acrylic fibers,X,,
28249902,Acrylonitrile fibers,X,,
28249903,Anidex fibers,X,,
28249904,Casein fibers,X,,
28249905,Elastomeric fibers,X,,
28249906,Fluorocarbon fibers,X,,
28249907,"Horsehair, artificial: nylon",X,,
28249908,Nylon fibers,X,,
28249909,Polyester fibers,X,,
28249910,Polyvinyl ester fibers,X,,
28249911,Polyvinylidene chloride fibers,X,,
28249912,Protein fibers,X,,
28249913,Saran fibers,X,,
28249914,Soybean fibers,X,,
28249915,"Textured yarns, non-cellulosic",X,,
28249916,Vinyl fibers,X,,
28330000,Medicinals and botanicals,X,,
28330100,Medicinal chemicals,X,,
28330101,"Anesthetics, in bulk form",X,,
28330102,Barbituric acid and derivatives,X,,
28330103,"Inorganic medicinal chemicals: bulk, uncompounded",X,,
28330104,"Mercury compounds, medicinal",X,,
28330105,"Organic medicinal chemicals: bulk, uncompounded",X,,
28330106,Salicylic acid derivatives,X,,
28330107,Sulfa drugs,X,,
28330108,Sulfonamides,X,,
28330109,"Vitamins, natural or synthetic: bulk, uncompounded",X,,
28330200,Alkaloids and other botanical based products,X,,
28330201,Agar-agar (ground),X,,
28330202,Atropine and derivatives,X,,
28330203,"Botanical products, medicinal: ground, graded, or milled",X,,
28330204,Brucine and derivatives,X,,
28330205,Caffeine and derivatives,X,,
28330206,Cinchona and derivatives,X,,
28330207,Cocaine and derivatives,X,,
28330208,Codeine and derivatives,X,,
28330209,Digitoxin,X,,
28330210,"Drugs and herbs: grading, grinding, and milling",X,,
28330211,Ephedrine and derivatives,X,,
28330212,Morphine and derivatives,X,,
28330213,Opium derivatives,X,,
28330214,Quinine and derivatives,X,,
28330215,Strychnine and derivatives,X,,
28330216,Theobromine,X,,
28330217,"Vegetable oils, medicinal grade: refined or concentrated",X,,
28330300,Antibiotics,X,,
28330301,"Penicillin: bulk, uncompounded",X,,
28330400,Animal based products,X,,
28330401,Adrenal derivatives,X,,
28330402,"Animal oils, medicinal grade: refined or concentrated",X,,
28330403,Endocrine products,X,,
28330404,Fish liver oils: refined or concentrated for medicinal use,X,,
28330405,Hormones or derivatives,X,,
28330406,"Insulin: bulk, uncompounded",X,,
28340000,Pharmaceutical preparations,X,,
28340100,Drugs affecting neoplasms and endrocrine systems,X,,
28340101,Adrenal pharmaceutical preparations,X,,
28340102,Hormone preparations,X,,
28340103,Insulin preparations,X,,
28340104,Pituitary gland pharmaceutical preparations,X,,
28340105,Thyroid preparations,X,,
28340200,Drugs acting on the central nervous system & sense organs,X,,
28340201,Analgesics,X,,
28340202,Barbituric acid pharmaceutical preparations,X,,
28340203,Procaine pharmaceutical preparations,X,,
28340204,Sodium salicylate tablets,X,,
28340205,Tranquilizers or mental drug preparations,X,,
28340300,"Drugs acting on the cardiovascular system, except diagnostic",X,,
28340301,Digitalis pharmaceutical preparations,X,,
28340400,Drugs acting on the respiratory system,X,,
28340401,Antihistamine preparations,X,,
28340402,Cold remedies,X,,
28340403,Cough medicines,X,,
28340404,"Lozenges, pharmaceutical",X,,
28340405,"Syrups, pharmaceutical",X,,
28340500,Drugs acting on the gastrointestinal or genitourinary system,X,,
28340501,Antacids,X,,
28340502,Belladonna pharmaceutical preparations,X,,
28340503,Diuretics,X,,
28340504,Effervescent salts,X,,
28340505,Laxatives,X,,
28340600,Dermatologicals,X,,
28340601,"Astringents, medicinal",X,,
28340602,Liniments,X,,
28340603,Lip balms,X,,
28340604,Ointments,X,,
28340605,Suppositories,X,,
28340606,Zinc ointment,X,,
28340700,"Vitamin, nutrient, and hematinic preparations for human use",X,,
28340701,Intravenous solutions,X,,
28340702,Vitamin preparations,X,,
28340800,Drugs affecting parasitic and infective diseases,X,,
28340801,"Antibiotics, packaged",X,,
28340802,"Antiseptics, medicinal",X,,
28340803,"Iodine, tincture of",X,,
28340804,Penicillin preparations,X,,
28340805,"Tinctures, pharmaceutical",X,,
28349900,"Pharmaceutical preparations, nec",X,,
28349901,Chlorination tablets and kits (water purification),X,,
28349902,Druggists' preparations (pharmaceuticals),X,,
28349903,"Emulsions, pharmaceutical",X,,
28349904,"Extracts of botanicals: powdered, pilular, solid, or fluid",X,,
28349905,"Medicines, capsuled or ampuled",X,,
28349906,"Pills, pharmaceutical",X,,
28349907,"Powders, pharmaceutical",X,,
28349908,Proprietary drug products,X,,
28349909,"Solutions, pharmaceutical",X,,
28349910,"Tablets, pharmaceutical",X,,
28349911,Veterinary pharmaceutical preparations,X,,
28349912,"Water, sterile: for injections",X,,
28350000,Diagnostic substances,X,,
28359900,"Diagnostic substances, nec",X,,
28359901,Barium diagnostic agents,X,,
28359902,Blood derivative diagnostic agents,X,,
28359903,Cytology and histology diagnostic agents,X,,
28359904,Electrolyte diagnostic agents,X,,
28359905,Enzyme and isoenzyme diagnostic agents,X,,
28359906,Hemotology diagnostic agents,X,,
28359907,In vitro diagnostics,X,,
28359908,In vivo diagnostics,X,,
28359909,Microbiology and virology diagnostic products,X,,
28359910,Pregnancy test kits,X,,
28359911,Radioactive diagnostic substances,X,,
28359912,Veterinary diagnostic substances,X,,
28360000,"Biological products, except diagnostic",X,,
28360100,Blood derivatives,X,,
28360101,Coagulation products,X,,
28360102,Plasmas,X,,
28360103,Serums,X,,
28360200,Extracts,X,,
28360201,"Allergens, allergenic extracts",X,,
28360202,Tuberculins,X,,
28360300,Vaccines and other immunizing products,X,,
28360301,Antitoxins,X,,
28360302,Bacterial vaccines,X,,
28360303,Toxoids,X,,
28360304,Vaccines,X,,
28360400,Culture media,X,,
28360401,Agar culture media,X,,
28360402,Bacteriological media,X,,
28360500,"Toxins, viruses, and similar substances, including venom",X,,
28360501,Toxins,X,,
28360502,Venoms,X,,
28360503,Viruses,X,,
28369900,"Biological products, except diagnostic, nec",X,,
28369901,Veterinary biological products,X,,
28410000,Soap and other detergents,X,,
28419900,"Soap and other detergents, nec",X,,
28419901,"Detergents, synthetic organic or inorganic alkaline",X,,
28419902,Dishwashing compounds,X,,
28419903,"Glycerin, crude or refined: from fats",X,,
28419904,Scouring compounds,X,,
28419905,"Soap: granulated, liquid, cake, flaked, or chip",X,,
28419906,Textile soap,X,,
28420000,Polishes and sanitation goods,X,,
28420100,Specialty cleaning,X,,
28420101,"Ammonia, household",X,,
28420102,"Cleaning or polishing preparations, nec",X,,
28420103,Degreasing solvent,X,,
28420104,Drain pipe solvents or cleaners,X,,
28420105,"Lye, household",X,,
28420106,Paint and wallpaper cleaners,X,,
28420107,Rust removers,X,,
28420108,Stain removers,X,,
28420109,"Sweeping compounds, oil or water absorbent, clay or sawdust",X,,
28420110,Wax removers,X,,
28420111,Window cleaning preparations,X,,
28420200,Polishing preparations and related products,X,,
28420201,Automobile polish,X,,
28420202,"Beeswax, processing of",X,,
28420203,"Dusting cloths, chemically treated",X,,
28420204,Floor waxes,X,,
28420205,Furniture polish or wax,X,,
28420206,Leather dressings and finishes,X,,
28420207,Metal polish,X,,
28420208,Shoe polish or cleaner,X,,
28420209,"Waxes for wood, leather, and other materials",X,,
28420300,Drycleaning preparations,X,,
28420301,"Rug, upholstery, or dry cleaning detergents or spotters",X,,
28420400,"Sanitation preparations, disinfectants and deodorants",X,,
28420401,"Deodorants, nonpersonal",X,,
28420402,"Disinfectants, household or industrial plant",X,,
28420403,Industrial plant disinfectants or deodorants,X,,
28420404,Sanitation preparations,X,,
28420500,Laundry cleaning preparations,X,,
28420501,Fabric softeners,X,,
28420502,"Starch preparations, laundry",X,,
28429900,"Polishes and sanitation goods, nec",X,,
28429901,"Bleaches, household: dry or liquid",X,,
28430000,Surface active agents,X,,
28430100,Oils and greases,X,,
28430101,Soluble oils or greases,X,,
28430102,"Sulfonated oils, fats, or greases",X,,
28430200,Finishing agents,X,,
28430201,Leather finishing agents,X,,
28430202,Textile finishing agents,X,,
28430300,Processing assistants,X,,
28430301,"Emulsifiers, except food and pharmaceutical",X,,
28430302,Leather processing assistants,X,,
28430303,Softeners (textile assistants),X,,
28430304,Textile processing assistants,X,,
28439900,"Surface active agents, nec",X,,
28439901,Penetrants,X,,
28440000,Toilet preparations,X,,
28440100,"Hair preparations, including shampoos",X,,
28440101,"Bleaches, hair",X,,
28440102,Hair coloring preparations,X,,
28440103,Home permanent kits,X,,
28440104,"Shampoos, rinses, conditioners: hair",X,,
28440105,"Tonics, hair",X,,
28440200,Oral preparations,X,,
28440201,Denture cleaners,X,,
28440202,Mouthwashes,X,,
28440203,"Toothpastes or powders, dentifrices",X,,
28440300,Perfumes and colognes,X,,
28440301,Colognes,X,,
28440302,"Concentrates, perfume",X,,
28440303,"Perfumes, natural or synthetic",X,,
28440400,Shaving preparations,X,,
28440401,"Lotions, shaving",X,,
28440500,Cosmetic preparations,X,,
28440501,Depilatories (cosmetic),X,,
28440502,Face creams or lotions,X,,
28440503,Lipsticks,X,,
28440504,Suntan lotions and oils,X,,
28449900,"Toilet preparations, nec",X,,
28449901,Bath salts,X,,
28449902,"Deodorants, personal",X,,
28449903,Manicure preparations,X,,
28449904,"Powder: baby, face, talcum, or toilet",X,,
28449905,Toilet preparations,X,,
28449906,"Towelettes, premoistened",X,,
28510000,Paints and allied products,X,,
28510100,Paints and paint additives,X,,
28510101,"Colors in oil, except artists'",X,,
28510102,Lead-in-oil paints,X,,
28510103,Marine paints,X,,
28510104,Paint driers,X,,
28510105,"Paints, asphalt or bituminous",X,,
28510106,"Paints, waterproof",X,,
28510107,Paints: oil or alkyd vehicle or water thinned,X,,
28510108,Plastics base paints and varnishes,X,,
28510109,"Undercoatings, paint",X,,
28510200,"Lacquers, varnishes, enamels, and other coatings",X,,
28510201,"Coating, air curing",X,,
28510202,"Enamels, nec",X,,
28510203,Epoxy coatings,X,,
28510204,Intaglio ink vehicle,X,,
28510205,"Japans, baking or drying",X,,
28510206,"Lacquer: bases, dopes, thinner",X,,
28510207,Lithographic varnishes,X,,
28510208,Polyurethane coatings,X,,
28510209,Shellac (protective coating),X,,
28510210,"Stains: varnish, oil, or wax",X,,
28510211,"Varnishes, nec",X,,
28510212,"Vinyl coatings, strippable",X,,
28510213,Wood stains,X,,
28510300,"Putty, wood fillers and sealers",X,,
28510301,Putty,X,,
28510302,Wood fillers or sealers,X,,
28510400,Removers and cleaners,X,,
28510401,Paint removers,X,,
28510402,Paintbrush cleaners,X,,
28510403,Varnish removers,X,,
28610000,Gum and wood chemicals,X,,
28610100,Wood distillation products,X,,
28610101,"Acetone, natural",X,,
28610102,"Ethyl acetate, natural",X,,
28610103,Hardwood distillates,X,,
28610104,"Methanol, natural (wood alcohol)",X,,
28610105,"Softwood distillates, nec",X,,
28610106,"Turpentine, pine oil",X,,
28610200,Wood extract products,X,,
28610201,"Creosote, wood",X,,
28610202,"Extracts, dyeing or tanning: natural",X,,
28619900,"Gum and wood chemicals, nec",X,,
28619901,"Charcoal, except activated",X,,
28619902,"Naval stores, wood and gum",X,,
28650000,Cyclic crudes and intermediates,X,,
28650100,Dyes and pigments,X,,
28650101,"Acid dyes, synthetic",X,,
28650102,Aminoazobenzene,X,,
28650103,Aminoazotoluene,X,,
28650104,"Anthraquinone, dyes",X,,
28650105,Azobenzene,X,,
28650106,Biological stains,X,,
28650107,Color lakes or toners,X,,
28650108,"Color pigments, organic",X,,
28650109,"Drug dyes, synthetic",X,,
28650110,"Dyes, synthetic organic",X,,
28650111,"Dyes: azine, azo, azoic",X,,
28650112,"Food dyes or colors, synthetic",X,,
28650113,Hydroquinones,X,,
28650200,Cyclic organic crudes,X,,
28650201,Anthracene,X,,
28650202,Benzaldehyde,X,,
28650203,Benzene,X,,
28650204,Cyclohexane,X,,
28650205,Ethylbenzene,X,,
28650206,Naphthalene,X,,
28650207,"Phenol, alkylated and cumene",X,,
28650208,Solvent naphtha,X,,
28650209,Styrene,X,,
28650210,Toluene,X,,
28650211,Xylene,X,,
28650300,Cyclic organic intermediates,X,,
28650301,Aminoanthraquinone,X,,
28650302,Aminophenol,X,,
28650303,"Aniline, nitrobenzene",X,,
28650304,Benzoic acid,X,,
28650305,Benzol (industrial organic chemical),X,,
28650306,Benzyl chloride,X,,
28650307,Chlorobenzene,X,,
28650308,Chloronaphthalene,X,,
28650309,Chlorophenol,X,,
28650310,Chlorotoluene,X,,
28650311,Cresols,X,,
28650312,Diphenylamines,X,,
28650313,"Diphenylamines, alkylated",X,,
28650314,Dye (cyclic) intermediates,X,,
28650315,Isocyanates,X,,
28650316,Maleic anhydride,X,,
28650317,Nitroaniline,X,,
28650318,Nitrophenol,X,,
28650319,Resorcinol,X,,
28650400,"Tar, coal tar, and related chemicals",X,,
28650401,"Acids, coal tar",X,,
28650402,"Coal tar: crudes, intermediates, and distillates",X,,
28650403,Tar,X,,
28659900,"Cyclic crudes and intermediates, nec",X,,
28659901,Chemical indicators,X,,
28690000,"Industrial organic chemicals, nec",X,,
28690100,"Alcohols, non beverage",X,,
28690101,"Alcohols, industrial: denatured (non-beverage)",X,,
28690102,Amyl alcohol,X,,
28690103,"Butyl alcohol, butanol",X,,
28690104,"Ethyl alcohol, ethanol",X,,
28690105,Ethylene glycols,X,,
28690106,"Grain alcohol, industrial",X,,
28690107,"Isopropyl alcohol, isopropanol",X,,
28690108,"Methyl alcohol, synthetic, methanol",X,,
28690200,Olefins,X,,
28690201,Ethylene,X,,
28690202,"Propylene, butylene",X,,
28690300,"Amines, acids, salts, esters",X,,
28690301,"Acetates: amyl, butyl, and ethyl",X,,
28690302,Acetic and chloroacetic acid and metallic salts,X,,
28690303,Adipic acid and metallic salts,X,,
28690304,Adipic acid esters,X,,
28690305,Esters of phthalic anhydride,X,,
28690306,Ethanolamines,X,,
28690307,"Fatty acid esters, aminos, etc.",X,,
28690308,Formic acid and metallic salts,X,,
28690309,Methylamine,X,,
28690310,Oleic acid esters,X,,
28690311,Oxalic acid and metallic salts,X,,
28690312,Phosphoric acid esters,X,,
28690313,"Polyhydric alcohol esters, aminos, etc.",X,,
28690314,Sebacic acid,X,,
28690315,Stearic acid salts,X,,
28690316,Tannic acid,X,,
28690317,Tartaric acid and metallic salts,X,,
28690318,Vinyl acetate,X,,
28690400,Fuels,X,,
28690401,"Rocket engine fuel, organic",X,,
28690500,"Perfumes, flavorings, and food additives",X,,
28690501,"Flavors or flavoring materials, synthetic",X,,
28690502,Monosodium glutamate,X,,
28690503,"Perfume materials, synthetic",X,,
28690504,Saccharin,X,,
28690505,Sorbitol,X,,
28690506,"Sweeteners, synthetic",X,,
28690507,"Vanillin, synthetic",X,,
28690600,Aldehydes and ketones,X,,
28690601,Acetaldehyde,X,,
28690602,"Acetone, synthetic",X,,
28690603,Formaldehyde (formalin),X,,
28690604,Ketone: methyl ethyl and methyl isobutyl,X,,
28699900,"Industrial organic chemicals, nec, nec",X,,
28699901,"Accelerators, rubber processing: cyclic or acyclic",X,,
28699902,"Antioxidants, rubber processing: cyclic or acyclic",X,,
28699903,Butadiene (industrial organic chemical),X,,
28699904,"Camphor, synthetic",X,,
28699905,Carbon disulfide,X,,
28699906,Carbon tetrachloride,X,,
28699907,"Casing fluids for curing fruits, spices, tobacco, etc.",X,,
28699908,"Chemical warfare gases: phosgene, mustard gas, tear gas",X,,
28699909,Chloral,X,,
28699910,Chlorinated solvents,X,,
28699911,Chloroethylenes,X,,
28699912,Chloroform,X,,
28699913,"DDT, technical",X,,
28699914,Embalming fluids,X,,
28699915,Enzymes,X,,
28699916,Ethers,X,,
28699917,Ethylene oxide,X,,
28699918,Fluorinated hydrocarbon gases,X,,
28699919,Freon,X,,
28699920,Glycerin,X,,
28699921,Glycol ethers,X,,
28699922,"High purity grade chemicals, organic",X,,
28699923,"Hydraulic fluids, synthetic base",X,,
28699924,"Laboratory chemicals, organic",X,,
28699925,Pentaerythritol,X,,
28699926,"Plasticizers, organic: cyclic and acyclic",X,,
28699927,Silicones,X,,
28699928,"Solvents, organic",X,,
28699929,"Tanning agents, synthetic organic",X,,
28699930,Tetraethyl lead,X,,
28730000,Nitrogenous fertilizers,X,,
28730100,Ammonia and ammonium salts,X,,
28730101,Ammonia liquor,X,,
28730102,"Ammonium nitrate, ammonium sulfate",X,,
28730103,Anhydrous ammonia,X,,
28739900,"Nitrogenous fertilizers, nec",X,,
28739901,"Fertilizers: natural (organic), except compost",X,,
28739902,Nitric acid,X,,
28739903,Nitrogen solutions (fertilizer),X,,
28739904,"Plant foods, mixed: from plants making nitrog. fertilizers",X,,
28739905,Urea,X,,
28740000,Phosphatic fertilizers,X,,
28740100,Phosphates,X,,
28740101,Ammonium phosphate,X,,
28740102,Calcium meta-phosphate,X,,
28740103,Diammonium phosphate,X,,
28740104,Phosphoric acid,X,,
28740105,"Superphosphates, ammoniated or not ammoniated",X,,
28749900,"Phosphatic fertilizers, nec",X,,
28749901,"Plant foods, mixed: from plants making phosphatic fertilizer",X,,
28750000,"Fertilizers, mixing only",X,,
28759900,"Fertilizers, mixing only, nec",X,,
28759901,Compost,X,,
28759902,"Potting soil, mixed",X,,
28790000,"Agricultural chemicals, nec",X,,
28790100,Insecticides and pesticides,X,,
28790101,"Arsenates, arsenites (formulated)",X,,
28790102,Bordeaux mixture,X,,
28790103,Cattle dips,X,,
28790104,"DDT (insecticide), formulated",X,,
28790105,"Exterminating products, for household or industrial use",X,,
28790106,"Insecticides, agricultural or household",X,,
28790107,"Pesticides, agricultural or household",X,,
28790108,Pyrethrin concentrates and preparations,X,,
28790109,Rotenone concentrates and preparations,X,,
28790110,"Sheep dips, chemical",X,,
28799900,"Agricultural chemicals, nec, nec",X,,
28799901,Agricultural disinfectants,X,,
28799902,Defoliants,X,,
28799903,"Fungicides, herbicides",X,,
28799904,Plant hormones,X,,
28799905,Soil conditioners,X,,
28799906,Trace elements (agricultural chemicals),X,,
28910000,Adhesives and sealants,X,,
28910100,Sealants,X,,
28910101,Caulking compounds,X,,
28910102,Laminating compounds,X,,
28910103,Sealing compounds for pipe threads or joints,X,,
28910104,"Sealing compounds, synthetic rubber or plastic",X,,
28910105,Sealing wax,X,,
28910200,Adhesives,X,,
28910201,"Adhesives, paste",X,,
28910202,"Adhesives, plastic",X,,
28910203,"Cement, except linoleum and tile",X,,
28910204,"Cement, linoleum and tile",X,,
28910205,Epoxy adhesives,X,,
28910206,Glue,X,,
28910207,Mucilage,X,,
28910208,Rubber cement,X,,
28920000,Explosives,X,,
28920100,"Primary explosives, fuses and detonators",X,,
28920101,Detonators and detonating caps,X,,
28920102,"Detonators, high explosives",X,,
28920103,"Diazodinitrophenol, DDNP",X,,
28920104,Fuse powder,X,,
28920105,"Fuses, safety",X,,
28920106,Lead azide (explosive),X,,
28920107,Lead styphnate (explosive),X,,
28920108,Mercury fulminate (explosive),X,,
28920109,Nitromannitol (explosive),X,,
28920200,Secondary high explosives,X,,
28920201,Amatols (explosive),X,,
28920202,Black powder (explosive),X,,
28920203,Cordite (explosive),X,,
28920204,"Cyclonite, RDX",X,,
28920205,Dynamite,X,,
28920206,Emulsions (explosive),X,,
28920207,"Ethylene glycol dinitrate, EGDN",X,,
28920208,Explosive cartridges for concussion forming of metal,X,,
28920209,Gunpowder,X,,
28920210,"HMX, HBX",X,,
28920211,Nitroglycerin (explosive),X,,
28920212,"Nitromethane, NM (explosive)",X,,
28920213,Nitrostarches (explosive),X,,
28920214,Nitrosugars (explosive),X,,
28920215,"Pentaerythritol tetranitrate, PETN",X,,
28920216,Plastic explosives,X,,
28920217,Slurries (explosive),X,,
28920218,Sporting powder (explosive),X,,
28920219,"Squibbs, electric",X,,
28920220,"TNT and DNT, trinitrotoluene and dinitrotoluene",X,,
28920221,Water gels (explosive),X,,
28920222,Well shooting torpedoes (explosive),X,,
28930000,Printing ink,X,,
28939900,"Printing ink, nec",X,,
28939901,Duplicating ink,X,,
28939902,Gravure ink,X,,
28939903,Letterpress or offset ink,X,,
28939904,Lithographic ink,X,,
28939905,Screen process ink,X,,
28950000,Carbon black,X,,
28959900,"Carbon black, nec",X,,
28959901,Channel black,X,,
28959902,Furnace black,X,,
28990000,"Chemical preparations, nec",X,,
